,positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length
0,11,1,0.8333332638888947,0.03324099713783657,10.258064516129032,0.5062893081761006,4.305741529722053,10.258064516129032,161,315,2.8205128205128207,2,7.368253968253968
1,62,29,0.3626373586523367,0.08250226647098616,11.55952380952381,0.576725025746653,4.854499534108186,11.55952380952381,560,971,2.8512658227848102,4,7.497425334706488
2,43,24,0.2835820853196704,0.07338444679804551,13.01639344262295,0.6297229219143576,5.458446545814923,13.01639344262295,500,794,3.09846547314578,14,8.27455919395466
3,42,72,-0.26315789242843957,0.12709030086166076,14.017857142857142,0.6050955414012739,5.849181073703367,14.017857142857142,475,784,3.0273081924577374,5,8.131377551020408
4,25,8,0.5151514995408637,0.056218057825863615,11.955555555555556,0.5297397769516728,4.994118133002892,11.955555555555556,285,538,2.8660377358490567,7,7.691449814126394
5,90,27,0.5384615338593032,0.08164689456968116,13.242105263157894,0.6120826709062003,5.541675173625638,13.242105263157894,770,1255,2.9894907033144706,7,8.08207171314741
6,28,39,-0.1641791020271776,0.09115646246101161,10.507936507936508,0.5347432024169184,4.417071884141371,10.507936507936508,354,662,2.7419847328244273,2,7.469788519637462
7,35,9,0.5909090774793392,0.05843293484935865,12.173076923076923,0.6445497630331753,5.12705067444404,12.173076923076923,408,632,3.263681592039801,4,8.264240506329115
8,40,46,-0.0697674410492158,0.09930715923867534,12.112903225806452,0.6338215712383488,5.098689918817921,12.112903225806452,476,750,3.0553306342780027,3,8.249333333333333
9,64,66,-0.01538461526627219,0.12732615070780984,10.64367816091954,0.5874730021598272,4.492460465231747,10.64367816091954,544,923,2.934806629834254,9,8.008667388949078
10,65,18,0.5662650534184933,0.07685185178069272,13.472222222222221,0.6195876288659794,5.636723940435281,13.472222222222221,601,969,3.003171247357294,3,7.9112487100103195
11,80,22,0.5686274454056133,0.08846487416438431,12.370786516853933,0.6012715712988193,5.188823235261101,12.370786516853933,662,1101,3.05032021957914,3,7.736603088101726
12,43,13,0.5357142761479594,0.11522633721146844,15.96551724137931,0.6328293736501079,6.639338646011767,15.96551724137931,293,463,3.1145374449339207,4,7.928725701943844
13,26,27,-0.01886792417230332,0.06432038827145584,9.717948717948717,0.5356200527704486,4.101427508287666,9.717948717948717,406,756,2.76027397260274,4,7.296296296296297
14,38,27,0.16923076662721898,0.07065217383624764,13.841269841269842,0.5573394495412844,5.759443716324451,13.841269841269842,486,870,2.8109684947491247,7,7.491954022988506
15,38,27,0.16923076662721898,0.07065217383624764,13.841269841269842,0.5573394495412844,5.759443716324451,13.841269841269842,486,870,2.8109684947491247,7,7.491954022988506
16,48,12,0.5999999900000001,0.07025761115894893,11.318840579710145,0.5454545454545454,4.745718050065876,11.318840579710145,426,780,2.843421052631579,6,7.535897435897436
17,37,10,0.5744680728836581,0.05522914212076482,14.0,0.6018518518518519,5.840740740740741,14.0,455,754,2.957880434782609,2,7.7148541114058355
18,63,6,0.8260869445494646,0.059431524496613666,10.59,0.5561850802644004,4.4584740321057605,10.59,589,1053,2.796190476190476,5,7.557454890788224
19,13,0,0.9999999230769291,0.030732860447440048,13.344827586206897,0.5193798449612403,5.5456829724672545,13.344827586206897,201,387,2.8203125,2,7.4728682170542635
